"last_name, first_name","player_id","year","pa","k_percent","bb_percent","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Dollander, Chase",801403,2025,112,22.3,8.9,".272",".583",".384",".389",".339",".311",".469",".476",35.1,18.2,46.8,"77.607533684","95.168582895",23.6,49.3
"Povich, Cade",700249,2025,134,18.7,9,".304",".552",".382",".390",".366",".248",".445",".456",38.1,11.3,47.4,"80.873980408","95.357583918",21.5,44.2
"Kikuchi, Yusei",579328,2025,162,20.4,11.7,".259",".465",".346",".357",".351",".206",".386",".403",30.3,11,42.2,"80.567878333","95.337431481",21.5,44.7
"Castillo, Luis",622491,2025,165,18.2,9.7,".254",".419",".299",".328",".330",".166",".318",".358",30.5,10.2,44.9,"79.619758305","95.072624444",21.9,50.5
"Quantrill, Cal",615698,2025,122,13.1,8.2,".329",".559",".418",".406",".391",".230",".456",".441",43.2,12.6,47.4,"83.102579565","95.638982391",20.5,46.6
"Schwellenbach, Spencer",680885,2025,171,21.6,4.1,".280",".438",".301",".325",".318",".158",".365",".398",36.8,7.2,44.8,"78.24431129","94.859583871",28.3,53.6
"Peterson, David",656849,2025,139,21.6,6.5,".300",".427",".316",".341",".351",".127",".374",".411",30.6,5.1,54.1,"82.291532708","96.129190737",19.4,47.6
"Flaherty, Jack",656427,2025,158,29.1,7.6,".252",".421",".301",".318",".312",".169",".388",".417",42.4,9.1,38.4,"79.505549592","94.513039184",30.7,46.6
"Mize, Casey",663554,2025,146,18.5,6.2,".214",".384",".292",".281",".263",".169",".330",".316",29.1,9.1,40.9,"80.468102545","94.358618182",27.1,48.8
"Woo, Bryan",693433,2025,147,25.9,4.8,".215",".350",".226",".268",".260",".136",".274",".335",35.6,6.9,36.6,"75.397656","93.8215013",25.7,55
"Williams, Gavin",668909,2025,146,25.3,13,".294",".489",".379",".382",".387",".195",".467",".473",35.6,11.1,43.3,"79.316076667","95.265601461",29.7,48
"Wheeler, Zack",554430,2025,174,32.8,5.2,".199",".342",".291",".260",".250",".143",".405",".355",38.7,8.5,36.8,"76.328611346","93.646424808",30.9,50.6
